Repository,Owner,Stars,Forks,Issues,Language,Created,Updated
MinerU,opendatalab,73556,6182,29,Python,2024-02-29T08:52:34Z,2026-07-06T07:26:23Z
awesome-machine-learning,josephmisiti,73201,15527,18,Python,2014-07-15T19:11:19Z,2026-07-06T07:21:01Z
screenshot-to-code,abi,73164,9013,124,Python,2023-11-14T17:53:32Z,2026-07-06T07:35:47Z
LlamaFactory,hiyouga,72985,8923,1065,Python,2023-05-28T10:09:12Z,2026-07-06T07:16:07Z
flask,pallets,71888,16896,7,Python,2010-04-06T11:11:59Z,2026-07-06T07:10:54Z
crawl4ai,unclecode,71105,7307,121,Python,2024-05-09T09:48:50Z,2026-07-06T07:29:46Z
gpt_academic,binary-husky,71048,8354,329,Python,2023-03-20T09:05:13Z,2026-07-06T07:08:10Z
OpenBB,OpenBB-finance,70113,7098,74,Python,2020-12-20T10:46:38Z,2026-07-06T07:28:12Z
learn-claude-code,shareAI-lab,69983,11400,52,Python,2025-06-29T15:34:15Z,2026-07-06T07:37:39Z
ansible,ansible,69316,24115,807,Python,2012-03-06T14:58:02Z,2026-07-06T07:12:27Z
MetaGPT,FoundationAgents,69216,8830,132,Python,2023-06-30T09:04:55Z,2026-07-06T07:07:11Z
Scrapling,D4Vinci,68302,6761,2,Python,2024-10-13T20:29:53Z,2026-07-06T07:31:48Z
MiroFish,666ghj,67907,10583,330,Python,2025-11-26T04:23:02Z,2026-07-06T07:28:06Z
unsloth,unslothai,67837,6104,1060,Python,2023-11-29T16:50:09Z,2026-07-06T07:07:56Z
30-Days-Of-Python,Asabeneh,67377,12575,167,Python,2019-11-19T17:24:16Z,2026-07-06T07:31:09Z
annotated_deep_learning_paper_implementations,labmlai,67042,6728,32,Python,2020-08-25T02:29:34Z,2026-07-06T05:37:25Z
awesome-claude-skills,ComposioHQ,66929,7473,928,Python,2025-10-17T07:15:01Z,2026-07-06T07:23:16Z
scikit-learn,scikit-learn,66617,27157,2109,Python,2010-08-17T09:43:38Z,2026-07-06T07:27:46Z
gpt4free,xtekky,66461,13553,5,Python,2023-03-29T17:00:43Z,2026-07-06T06:03:21Z
localstack,localstack,65096,4748,0,Python,2016-10-25T23:48:03Z,2026-07-06T06:22:16Z
hello-agents,datawhalechina,64205,7962,138,Python,2025-09-07T09:50:24Z,2026-07-06T07:36:53Z
keras,keras-team,64152,19759,225,Python,2015-03-28T00:35:42Z,2026-07-06T06:52:45Z
openpilot,commaai,62993,11138,135,Python,2016-11-24T01:33:30Z,2026-07-06T06:41:58Z
scrapy,scrapy,62948,11770,590,Python,2010-02-22T02:01:14Z,2026-07-06T07:31:51Z
pathway,pathwaycom,62741,1673,35,Python,2022-11-27T13:01:14Z,2026-07-06T06:41:22Z
docling,docling-project,62721,4419,935,Python,2024-07-09T07:50:26Z,2026-07-06T07:16:25Z
ai-hedge-fund,virattt,60876,10764,146,Python,2024-11-29T16:30:01Z,2026-07-06T06:15:24Z
nanoGPT,karpathy,60810,10460,349,Python,2022-12-28T00:51:12Z,2026-07-06T07:28:33Z
TrendRadar,sansan0,60286,24764,49,Python,2025-04-28T11:42:16Z,2026-07-06T07:33:24Z
mem0,mem0ai,60174,6981,513,Python,2023-06-20T08:58:36Z,2026-07-06T07:25:19Z
Real-Time-Voice-Cloning,CorentinJ,59986,9396,172,Python,2019-05-26T08:56:15Z,2026-07-06T07:17:42Z
autogen,microsoft,59518,8961,927,Python,2023-08-18T11:43:45Z,2026-07-06T07:27:31Z
llama,meta-llama,59496,9794,523,Python,2023-02-14T09:29:12Z,2026-07-06T01:47:03Z
GPT-SoVITS,RVC-Boss,59482,6495,871,Python,2024-01-14T18:05:21Z,2026-07-06T07:26:16Z
ultralytics,ultralytics,59160,11325,202,Python,2022-09-11T16:39:45Z,2026-07-06T07:32:33Z
yolov5,ultralytics,57632,17483,45,Python,2020-05-18T03:45:11Z,2026-07-06T06:26:59Z
private-gpt,zylon-ai,57312,7595,6,Python,2023-05-02T09:15:31Z,2026-07-06T06:37:10Z
mempalace,MemPalace,57003,7364,580,Python,2026-04-05T01:12:07Z,2026-07-06T07:37:28Z
headroom,headroomlabs-ai,56911,4181,547,Python,2026-01-07T19:58:51Z,2026-07-06T07:35:13Z
you-get,soimort,56845,9723,384,Python,2012-08-20T15:53:36Z,2026-07-06T07:31:47Z
rich,Textualize,56786,2218,360,Python,2019-11-10T15:28:09Z,2026-07-06T07:10:16Z
OpenManus,FoundationAgents,56742,9872,510,Python,2025-03-06T14:08:14Z,2026-07-06T07:06:38Z
face_recognition,ageitgey,56570,13698,831,Python,2017-03-03T21:52:39Z,2026-07-06T07:06:03Z
nanochat,karpathy,55879,7708,90,Python,2025-10-13T13:46:35Z,2026-07-06T07:31:06Z
n8n-workflows,Zie619,55568,7387,32,Python,2025-05-14T08:43:59Z,2026-07-06T07:32:50Z
MediaCrawler,NanmiCoder,55404,11192,177,Python,2023-06-09T12:14:34Z,2026-07-06T07:35:40Z
faceswap,deepfakes,55333,13369,9,Python,2017-12-19T09:44:13Z,2026-07-06T00:37:28Z
gpt-engineer,AntonOsika,55199,7296,70,Python,2023-04-29T12:52:15Z,2026-07-06T05:59:53Z
crewAI,crewAIInc,54988,7723,613,Python,2023-10-27T03:26:59Z,2026-07-06T07:26:10Z
daily_stock_analysis,ZhuLinsen,54866,47454,61,Python,2026-01-10T06:43:20Z,2026-07-06T07:36:03Z
